;Date;Start;2016-04-02T17:50:26;End;2016-04-02T17:51:52;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;1;Melleru;5;14.0;70.0;20.0;100.0; 
;;;;TOTALT INKOPS PRIS:;70.0;TOTAL FORSALJNING;100.0;
;Kassa-in:;-929.2;Kassa-ut:;-829.2
