;Date;Start;2016-04-02T13:18:17;End;2016-04-02T13:18:55;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;1;Mellerud;1;13.5;13.5;15.0;15.0; 
;2;Lindemans apple;5;18.5;92.5;20.0;100.0; 
;5;Bitburger;2;12.0;24.0;15.0;30.0; 
;3;Falt tire;2;10.5;21.0;13.0;26.0; 
;4;Twisted tistle;1;18.9;18.9;20.0;20.0; 
;50;Marke;1;20.0;20.0;20.0;20.0; 
;;;;TOTALT INKOPS PRIS:;189.9;TOTAL FORSALJNING;211.0;
;Kassa-in:;-0.2;Kassa-ut:;210.8
