;Date_from;2016-02-20;Date_until;2016-03-29; 
;Namn;Antal;total inkospkostnad;total forsaljningintakt;total vinst på vara; 
;Mellerud;9;121.5;7.407407407407407e-005;0.0007407407407407407;
;Bitburger;8;96.0;8.333333333333333e-005;0.0004166666666666667;
