;Date;Start;2016-03-12T23:18:55;End;2016-03-12T23:19:26;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;1;Mellerud;9;13.5;121.5;15.0;135.0; 
;5;Bitburger;8;12.0;96.0;15.0;120.0; 
;51;Midvinterblot;2;300.0;600.0;300.0;600.0; 
;50;Marke;1;20.0;20.0;20.0;20.0; 
;;;;TOTALT INKOPS PRIS:;837.5;TOTAL FORSALJNING;875.0;
