;Date;Start;2016-03-12T23:04:05;End;2016-03-12T23:06:14;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;5;Bitburger;8;12.0;96.0;15.0;120.0; 
;1;Mellerud;8;13.5;108.0;15.0;120.0; 
;;;;TOTALT INKOPS PRIS:;204.0;TOTAL FORSALJNING;240.0;
