;Date;Start;2016-03-12T13:38:12;End;2016-03-12T13:39:51;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;1;Mellerud;2;13.5;27.0;15.0;30.0; 
;;;;TOTALT INKOPS PRIS:;27.0;TOTAL FORSALJNING;30.0;
