;Date;Start;2016-03-12T12:31:19;End;2016-03-12T12:33:33;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;2;Bitburger;7;13.5;94.5;15.0;105.0; 
;1;mellerud;12;13.5;162.0;15.0;180.0; 
;;;;TOTALT INKOPS PRIS:;256.5;TOTAL FORSALJNING;285.0;
