;Date;Start;2016-03-11T18:11:41;End;2016-03-11T18:12:08;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;1;Mellerud;7;14.0;98.0;15.0;105.0; 
;;;;TOTALT INKOPS PRIS:;98.0;TOTAL FORSALJNING;105.0;
