;Date_from;1990-01-01;Date_until;2020-01-01; 
;Namn;Antal;total inkospkostnad;total forsaljningintakt;total vinst pa vara; 
;Mellerud;110;1485.0;1650.0;165.0;
;Bitburger;61;732.0;915.0;183.0;
;Twisted tistle;4;75.6;80.0;4.4;
;Falt tire;6;63.0;78.0;15.0;
;Lindemans apple;39;721.5;780.0;58.5;
;twisted tistle;75;1417.5;1500.0;82.5;
;falt tire;22;231.0;286.0;55.0;
;Midvinterblot;3;900.0;900.0;0.0;
;Marke;2;40.0;40.0;0.0;
;Total inkopskostnad:;5665.6;Omsattning:;6229.0;Vinst;563.4;
