;Date;kassa;valv 
;2016-03-22;420.0;1000.0 
;2016-03-22;420.0;1000.0 
;2016-03-22;420.0;1000.0 
;2016-03-22;420.0;1000.0 
;2016-03-22;510.0;1000.0 
;2016-03-22;510.0;1000.0 
;2016-03-22;510.0;1000.0 
;2016-03-22;530.0;1000.0 
;2016-03-22;-1456.2;1000.0 
;2016-03-22;-1456.2;1000.0 
;2016-03-22;-1456.2;1000.0 
;2016-03-22;-1456.2;1000.0 
;2016-04-02;-187.2;1000.0 
;2016-04-02;-187.2;1000.0 
;2016-04-02;-15.2;1000.0 
;2016-04-02;-15.2;1000.0 
;2016-04-02;-0.2;1000.0 
;2016-04-02;-0.2;1000.0 
;2016-04-02;-0.2;1000.0 
