;Date;Start;2016-03-11T20:05:54;End;2016-03-11T20:07:56;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;2;Bitburger;3;12.5;37.5;15.0;45.0; 
;;;;TOTALT INKOPS PRIS:;37.5;TOTAL FORSALJNING;45.0;
