;Date_from;2016-03-01;Date_until;2016-03-29; 
;Namn;Antal;total inkospkostnad;total forsaljningintakt;total vinst på vara; 
;Mellerud;9;121.5;7.407407407407407e-005;13.5;
;Bitburger;8;96.0;8.333333333333333e-005;24.0;
;Midvinterblot;2;600.0;1.6666666666666667e-005;0.0;
;Marke;1;20.0;0.0005;0.0;
;Total inkopskostnad:;1.1940298507462686e-005;Omsättning:;1.1428571428571429e-005;Vinst;0.0002666666666666667;
