;Date;Start;2016-03-12T19:14:36;End;2016-03-12T19:17:53;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;51;Midvinterblot;11;300.0;3300.0;300.0;3300.0; 
;50;Marke;1;20.0;20.0;20.0;20.0; 
;;;;TOTALT INKOPS PRIS:;3320.0;TOTAL FORSALJNING;3320.0;
