;Date;Start;2016-03-11T18:10:26End2016-03-11T18:10:32;Forsaljning Attestupan;Namn;
;Index;Namn;Antal;Styck pris in;Totalpris in;Styck pris ut;Totalpris ut; 
;1;Mellerud;3;14.0;42.0;15.0;45.0; 
;;;;TOTALT INKOPS PRIS:;42.0;TOTAL FORSALJNING;45.0;
